렌터카 
제주엔젤렌트카, 제주 제주시 도령로 171-1
제주속으로, 제주 제주시 용담로 124
하이렌터카 본사, 제주 제주시 용해로 58-7
제주렌트카 본사, 제주 제주시 용문로 8
SK렌터카 제주지점, 제주 제주시 용문로 62
롯데렌터카 제주 오토하우스, 제주 제주시 용해로 92
제주공항렌트카, 제주 제주시 다호5길 17
제주스타렌트카, 제주 제주시 용문로 20
해피렌트카 제주영업소, 제주 제주시 다호7길 28
무지개렌트카, 제주 제주시 제성1길 30
제주로렌트카, 제주 제주시 오일장중길 128
제주원렌트카 본점, 제주 제주시 용해로 58-7
한라산렌트카, 제주 제주시 오일장중길 27
특별한렌트카, 제주 제주시 공항로1길 38
제주더렌트카, 제주 제주시 애월읍 가문동길 21
씨유렌트카, 제주 제주시 도두일동 1173-2
신동아렌터카, 제주 제주시 억삼길 10
제주유레카, 제주 제주시 어영길 20
퍼시픽렌터카 제주영업소, 제주 제주시 월성로4길 74-12
제주현대렌트카, 제주 제주시 어영길 30
